pick,round,team_key,player_id,player_name,yahoo_points,our_score,delta_our_minus_yahoo
1,1,458.l.177636.t.10,11771,Bobby Witt Jr.,0.0,,
2,1,458.l.177636.t.9,1000001,Shohei Ohtani (Batter),0.0,,
3,1,458.l.177636.t.5,9877,Aaron Judge,0.0,,
4,1,458.l.177636.t.8,10626,Juan Soto,0.0,,
5,1,458.l.177636.t.4,12393,Elly De La Cruz,0.0,,
6,1,458.l.177636.t.6,10480,Kyle Tucker,0.0,,
7,1,458.l.177636.t.1,9507,José Ramírez,0.0,,
8,1,458.l.177636.t.3,11722,Corbin Carroll,0.0,,
9,1,458.l.177636.t.2,10639,Fernando Tatis Jr.,0.0,,
10,1,458.l.177636.t.7,10621,Vladimir Guerrero Jr.,0.0,,
11,2,458.l.177636.t.7,9116,Francisco Lindor,0.0,,
12,2,458.l.177636.t.2,10883,Yordan Alvarez,0.0,,
13,2,458.l.177636.t.3,10235,Rafael Devers,0.0,,
14,2,458.l.177636.t.1,9552,Mookie Betts,0.0,,
15,2,458.l.177636.t.6,10839,Jazz Chisholm Jr.,0.0,,
16,2,458.l.177636.t.4,9124,Zack Wheeler,0.0,,
17,2,458.l.177636.t.8,11731,Gunnar Henderson,0.0,,
18,2,458.l.177636.t.5,62972,Paul Skenes,0.0,,
19,2,458.l.177636.t.9,11384,Julio Rodríguez,0.0,,
20,2,458.l.177636.t.10,8875,Bryce Harper,0.0,,
21,3,458.l.177636.t.10,12480,Jackson Chourio,0.0,,
22,3,458.l.177636.t.9,11763,Tarik Skubal,0.0,,
23,3,458.l.177636.t.5,11735,Jarren Duran,0.0,,
24,3,458.l.177636.t.8,9605,Matt Olson,0.0,,
25,3,458.l.177636.t.4,11381,Logan Gilbert,0.0,,
26,3,458.l.177636.t.6,11370,Oneil Cruz,0.0,,
27,3,458.l.177636.t.1,8658,Freddie Freeman,0.0,,
28,3,458.l.177636.t.3,10918,Pete Alonso,0.0,,
29,3,458.l.177636.t.2,10056,Trea Turner,0.0,,
30,3,458.l.177636.t.7,12522,Jackson Merrill,0.0,,
31,4,458.l.177636.t.7,10036,Ketel Marte,0.0,,
32,4,458.l.177636.t.2,9111,Manny Machado,0.0,,
33,4,458.l.177636.t.3,9861,Kyle Schwarber,0.0,,
34,4,458.l.177636.t.1,8996,Jose Altuve,0.0,,
35,4,458.l.177636.t.6,12046,Garrett Crochet,0.0,,
36,4,458.l.177636.t.4,10862,Hunter Greene,0.0,,
37,4,458.l.177636.t.8,10646,Ronald Acuña Jr.,0.0,,
38,4,458.l.177636.t.5,10420,Austin Riley,0.0,,
39,4,458.l.177636.t.9,10237,Ozzie Albies,0.0,,
