team,slot,name,team_abbr,score
0,1,Nathan MacKinnon,,808.2195699325653
0,2,J.T. Miller,,530.9555026466049
0,3,Sidney Crosby,,530.5146917502063
0,4,Cole Caufield,,456.7631675960798
0,5,Nicholas Suzuki,,454.72656628889035
0,6,Matt Duchene,,429.4325029431523
0,7,Nikolaj Ehlers,,427.4715330466665
0,8,Jonathan Marchessault,,403.0785912386037
0,9,Lucas Raymond,,399.95271007974
0,10,Rasmus Dahlin,,369.82094410854097
0,11,John Peterka,,367.2992874962973
0,12,Claude Giroux,,332.36411724345953
0,13,Pavel Zacha,,332.0058029913771
0,14,Gustav Forsling,,311.66993506444635
0,15,Boone Jenner,,310.86014112782306
1,1,Nikita Kucherov,,772.8431597727301
1,2,Brayden Point,,534.8597162478626
1,3,Kyle Connor,,529.4612659360075
1,4,Roman Josi,,458.62134494997275
1,5,Nico Hischier,,453.7227334367223
1,6,Zachary Werenski,,430.5406548958109
1,7,Wyatt Johnston,,423.42721988366156
1,8,Anze Kopitar,,403.26313295181654
1,9,Tim Stützle,,399.820474622904
1,10,Trevor Moore,,371.9109557951383
1,11,Brad Marchand,,365.22968149163626
1,12,Tomas Hertl,,332.78435237080424
1,13,Mason Marchment,,331.4812127620642
1,14,Dougie Hamilton,,312.13555943661663
1,15,Anthony Cirelli,,310.60082378357026
2,1,Connor McDavid,,740.9185344607207
2,2,Sebastian Aho,,540.5973127656175
2,3,Aleksander Barkov,,528.5795502060292
2,4,Seth Jarvis,,464.96014990008797
2,5,John Tavares,,452.5888126768279
2,6,Mika Zibanejad,,431.1555353726482
2,7,Joe Pavelski,,422.8948366674119
2,8,Travis Konecny,,405.97877568169275
2,9,Macklin Celebrini,,399.09091782498234
2,10,Kirill Marchenko,,374.11098250688605
2,11,Owen Tippett,,362.0150961866815
2,12,Miro Heiskanen,,334.28421952649603
2,13,Oliver Bjorkstrand,,331.12172339651977
2,14,Yegor Sharangovich,,312.33599372918775
2,15,Alexis Lafrenière,,309.2167623673217
3,1,Auston Matthews,,708.7500570950536
3,2,Filip Forsberg,,557.1997689032694
3,3,Quinn Hughes,,528.040160056628
3,4,Clayton Keller,,465.6078925967917
3,5,Matthew Boldy,,446.35659077535405
3,6,Joel Eriksson Ek,,431.3720345272485
3,7,Steven Stamkos,,421.2294109105572
3,8,Dylan Guenther,,407.5561590854123
3,9,Martin Necas,,398.521943401608
3,10,Pavel Buchnevich,,377.9580165500774
3,11,Noah Dobson,,360.4400788967825
3,12,Troy Terry,,335.6498892993803
3,13,Rickard Rakell,,329.22702597635794
3,14,Shane Pinto,,313.0517891020775
3,15,Conor Garland,,306.6018633518038
4,1,David Pastrnak,,666.0507492954264
4,2,Mitch Marner,,562.9122576543355
4,3,Zach Hyman,,503.9821756017096
4,4,Valeri Nichushkin,,465.808939761799
4,5,Chris Kreider,,445.2834279280399
4,6,Mark Stone,,431.6922558161213
4,7,Alex DeBrincat,,421.1226447202629
