Name,combined_shrunk_per_game,combined_projected_total,combined_ranking_score
Nathan MacKinnon,9.205799414714003,754.8755520065482,754.8755520065482
Nikita Kucherov,9.045589464186243,741.738336063272,741.738336063272
Connor McDavid,8.424136091449583,690.7791594988657,690.7791594988657
Leon Draisaitl,8.302814992799473,680.8308294095567,680.8308294095567
Auston Matthews,7.993022536180088,655.4278479667672,655.4278479667672
David Pastrnak,7.716878125154778,632.7840062626917,632.7840062626917
Kirill Kaprizov,7.645202008468763,626.9065646944385,626.9065646944385
Jack Eichel,7.4140546784963535,607.952483636701,607.952483636701
Cale Makar,7.240136207170381,593.6911689879712,593.6911689879712
Artemi Panarin,7.168231242716808,587.7949619027783,587.7949619027783
Jack Hughes,7.047011001208788,577.8549020991206,577.8549020991206
Mitch Marner,6.88977956746727,564.9619245323162,564.9619245323162
Kyle Connor,6.883093856615052,564.4136962424343,564.4136962424343
William Nylander,6.874394465024058,563.7003461319728,563.7003461319728
Sam Reinhart,6.771342096433156,555.2500519075188,555.2500519075188
Jake Guentzel,6.647546397765779,545.0988046167938,545.0988046167938
Brayden Point,6.6343562893312855,544.0172157251654,544.0172157251654
Alexander Ovechkin,6.536722620504725,536.0112548813875,536.0112548813875
Mikko Rantanen,6.495943665823962,532.6673805975648,532.6673805975648
Quinn Hughes,6.215465694363539,509.6681869378102,509.6681869378102
Sidney Crosby,6.184922216627033,507.1636217634167,507.1636217634167
Aleksander Barkov,6.127609476830249,502.4639771000804,502.4639771000804
Sebastian Aho,6.054362615294388,496.4577344541398,496.4577344541398
Jesper Bratt,6.016946336019687,493.3895995536143,493.3895995536143
Filip Forsberg,5.993348713390073,491.454594497986,491.454594497986
Jason Robertson,5.961322569599223,488.82845070713626,488.82845070713626
Nicholas Suzuki,5.946943484631903,487.649365739816,487.649365739816
Robert Thomas,5.940222565593693,487.09825037868285,487.09825037868285
Clayton Keller,5.87687969134544,481.9041346903261,481.9041346903261
Zachary Werenski,5.8304245524455895,478.09481330053836,478.09481330053836
Adrian Kempe,5.827446752808792,477.85063373032096,477.85063373032096
Matthew Tkachuk,5.81452628219051,476.7911551396218,476.7911551396218
Seth Jarvis,5.812401382449121,476.6169133608279,476.6169133608279
Brandon Hagel,5.710342177442359,468.24805855027347,468.24805855027347
Nico Hischier,5.709428005206949,468.1730964269698,468.1730964269698
John Tavares,5.632645440535216,461.87692612388776,461.87692612388776
J.T. Miller,5.618545332570449,460.7207172707768,460.7207172707768
Cole Caufield,5.61034217744236,460.0480585502735,460.0480585502735
Mark Stone,5.596374405997799,458.9027012918195,458.9027012918195
Mark Scheifele,5.589670899722909,458.3530137772786,458.3530137772786
Jordan Kyrou,5.587466360448895,458.17224155680935,458.17224155680935
Tage Thompson,5.554739379760121,455.4886291403299,455.4886291403299
Evan Bouchard,5.554640667945161,455.48053477150324,455.48053477150324
Martin Necas,5.520134420857397,452.6510225103065,452.6510225103065
Matt Duchene,5.5007395513913036,451.0606432140869,451.0606432140869
Nikolaj Ehlers,5.40217838220415,442.97862734074033,442.97862734074033
Valeri Nichushkin,5.397288524521233,442.5776590107411,442.5776590107411
Matthew Boldy,5.376358353986781,440.861385026916,440.861385026916
Roope Hintz,5.368728340576212,440.23572392724935,440.23572392724935
Wyatt Johnston,5.314917340841053,435.8232219489663,435.8232219489663
Kirill Marchenko,5.307242678465008,435.1938996341307,435.1938996341307
Dylan Larkin,5.293716264296704,434.0847336723298,434.0847336723298
Zach Hyman,5.285202846343929,433.3866334002022,433.3866334002022
Sean Monahan,5.283723913274936,433.26536088854476,433.26536088854476
Alex DeBrincat,5.252825837573079,430.73171868099246,430.73171868099246
Dylan Guenther,5.181015903864019,424.84330411684954,424.84330411684954
Lucas Raymond,5.171780085939092,424.08596704700557,424.08596704700557
Bryan Rust,5.166925453311565,423.68788717154837,423.68788717154837
Joe Pavelski,5.156371601885563,422.82247135461614,422.82247135461614
Gabriel Vilardi,5.129991377690507,420.65929297062155,420.65929297062155
Dylan Strome,5.126028451952163,420.3343330600773,420.3343330600773
Victor Hedman,5.0552955000045126,414.53423100037,414.53423100037
Nazem Kadri,5.014263746069811,411.1696271777245,411.1696271777245
