Name,Position,combined_gp,combined_per_game,combined_shrunk_per_game,combined_projected_total
Zayne Parekh,D,1.0,11.2,2.4574953072627315,918.4
Nathan MacKinnon,F,161.0,10.993333333333332,9.205799414714003,901.4533333333333
Nikita Kucherov,F,159.0,10.816877637130801,9.045589464186243,886.9839662447257
Taylor Ward,F,1.0,10.4,2.4194000691674935,852.8000000000001
Connor McDavid,F,143.0,10.233333333333333,8.424136091449583,839.1333333333332
Leon Draisaitl,F,152.0,10.000896860986547,8.302814992799473,820.0735426008969
Kirill Kaprizov,F,116.0,9.759235668789808,7.645202008468763,800.2573248407642
Auston Matthews,F,148.0,9.630697674418604,7.993022536180088,789.7172093023255
David Pastrnak,F,164.0,9.101626016260163,7.716878125154778,746.3333333333334
Jack Eichel,F,140.0,8.891244239631336,7.4140546784963535,729.0820276497695
Jack Hughes,F,124.0,8.66236559139785,7.047011001208788,710.3139784946236
John Farinacci,F,1.0,8.6,2.3336857834532077,705.1999999999999
Sam Morton,F,1.0,8.6,2.3336857834532077,705.1999999999999
Cale Makar,D,157.0,8.556118143459916,7.240136207170381,701.6016877637131
Artemi Panarin,F,162.0,8.436363636363637,7.168231242716808,691.7818181818183
Mitch Marner,F,150.0,8.148917748917748,6.88977956746727,668.2112554112554
Kyle Connor,F,147.0,8.135371179039302,6.883093856615052,667.1004366812227
William Nylander,F,164.0,8.053658536585365,6.874394465024058,660.4
Sam Reinhart,F,161.0,7.951666666666666,6.771342096433156,652.0366666666666
Jake Guentzel,F,147.0,7.873127753303965,6.647546397765779,645.5964757709252
Alexander Ovechkin,F,144.0,7.854545454545455,6.536722620504725,644.0727272727273
Brayden Point,F,158.0,7.808510638297872,6.6343562893312855,640.2978723404256
Mikko Rantanen,F,162.0,7.594262295081967,6.495943665823962,622.7295081967213
Ivan Demidov,F,2.0,7.5,2.518518247841698,615.0
Quinn Hughes,D,150.0,7.356880733944955,6.215465694363539,603.2642201834863
Aleksander Barkov,F,140.0,7.307246376811594,6.127609476830249,599.1942028985507
Sidney Crosby,F,162.0,7.211570247933884,6.184922216627033,591.3487603305784
Ruslan Iskhakov,F,1.0,7.2,2.32142397106321,590.4
Sebastian Aho,F,157.0,7.076271186440678,6.054362615294388,580.2542372881356
Matthew Tkachuk,F,132.0,7.017391304347826,5.81452628219051,575.4260869565218
Robert Thomas,F,152.0,7.0,5.940222565593693,574.0
Jesper Bratt,F,163.0,6.995081967213115,6.016946336019687,573.5967213114754
Filip Forsberg,F,164.0,6.957723577235773,5.993348713390073,570.5333333333333
Jason Robertson,F,164.0,6.91788617886179,5.961322569599223,567.2666666666668
Nicholas Suzuki,F,164.0,6.9,5.946943484631903,565.8000000000001
Justin Robidas,F,2.0,6.9,2.4639727932962434,565.8000000000001
Clayton Keller,F,159.0,6.834999999999999,5.87687969134544,560.4699999999999
Valeri Nichushkin,F,97.0,6.817142857142858,5.397288524521233,559.0057142857144
Seth Jarvis,F,154.0,6.812334801762115,5.812401382449121,558.6114537444935
Zachary Werenski,D,151.0,6.796551724137931,5.8304245524455895,557.3172413793103
Adrian Kempe,F,158.0,6.7782426778242675,5.827446752808792,555.81589958159
Mark Stone,F,122.0,6.720212765957447,5.596374405997799,551.0574468085107
Nico Hischier,F,146.0,6.704072398190046,5.709428005206949,549.7339366515838
Brandon Hagel,F,164.0,6.605691056910569,5.710342177442359,541.6666666666666
John Tavares,F,155.0,6.5713043478260875,5.632645440535216,538.8469565217392
J.T. Miller,F,153.0,6.554666666666668,5.618545332570449,537.4826666666668
Tage Thompson,F,147.0,6.497757847533633,5.554739379760121,532.8161434977578
Mark Scheifele,F,156.0,6.481512605042016,5.589670899722909,531.4840336134453
Cole Caufield,F,164.0,6.48130081300813,5.61034217744236,531.4666666666667
Jordan Kyrou,F,164.0,6.452845528455285,5.587466360448895,529.1333333333333
Evan Bouchard,D,163.0,6.416326530612245,5.554640667945161,526.138775510204
Martin Necas,F,156.0,6.405957446808511,5.520134420857397,525.2885106382979
