Name,gp_f0,shrunk_per_game_f0,projected_total_f0,raw_score_f0,gp_f1,shrunk_per_game_f1,projected_total_f1,raw_score_f1,combined_shrunk_per_game,combined_projected_total,combined_ranking_score
Nathan MacKinnon,79.0,8.539468701540578,835.5696202531645,805.0,82.0,10.489704935218898,1028.4,1028.4,9.205799414714003,754.8755520065482,754.8755520065482
Nikita Kucherov,78.0,8.657218382168544,849.4358974358975,808.0,81.0,9.793563399924034,959.2987654320988,947.6,9.045589464186243,741.738336063272,741.738336063272
Connor McDavid,67.0,7.7587057638220385,776.6746268656717,634.6,76.0,9.597394827003411,949.2578947368421,879.8,8.424136091449583,690.7791594988657,690.7791594988657
Leon Draisaitl,71.0,8.883597818159531,886.9859154929577,768.0,81.0,7.284652508834926,702.7703703703704,694.2,8.302814992799473,680.8308294095567,680.8308294095567
Auston Matthews,67.0,7.252958637385257,722.823880597015,590.6,81.0,9.217325776161658,900.3802469135803,889.4,7.993022536180088,655.4278479667672,655.4278479667672
David Pastrnak,82.0,7.311837269142327,705.4,705.4,82.0,8.526959837179682,828.2000000000002,828.2,7.716878125154778,632.7840062626917,632.7840062626917
Kirill Kaprizov,41.0,7.400121335287169,821.9999999999999,411.0,75.0,7.9131568778139725,776.4853333333333,710.2,7.645202008468763,626.9065646944385,626.9065646944385
Jack Eichel,77.0,7.6310041386857455,745.2415584415584,699.8,63.0,6.883733775811174,689.5809523809522,529.8,7.4140546784963535,607.952483636701,607.952483636701
Cale Makar,80.0,7.3400740145251735,710.9399999999999,693.6,77.0,7.032473230848737,682.1974025974026,640.6,7.240136207170381,593.6911689879712,593.6911689879712
Artemi Panarin,80.0,6.306074014525174,604.955,590.2,82.0,8.850489248944388,861.2000000000002,861.2,7.168231242716808,587.7949619027783,587.7949619027783
Jack Hughes,62.0,7.02204148112826,708.1096774193547,535.4,62.0,7.096950041369847,714.7225806451612,540.4,7.047011001208788,577.8549020991206,577.8549020991206
Mitch Marner,81.0,6.912944568836804,665.9209876543209,657.8,69.0,6.835392172947498,673.5884057971014,566.8,6.88977956746727,564.9619245323162,564.9619245323162
Kyle Connor,82.0,7.251052955416837,699.2,699.2,65.0,5.954704745792087,586.1107692307693,464.6,6.883093856615052,564.4136962424343,564.4136962424343
William Nylander,82.0,6.590268641691345,631.8,631.8,82.0,7.442646111689485,717.6,717.6,6.874394465024058,563.7003461319728,563.7003461319728
Sam Reinhart,79.0,6.335428297500174,609.0835443037975,586.8,82.0,7.611273562669877,734.8,734.8,6.771342096433156,555.2500519075188,555.2500519075188
Jake Guentzel,80.0,6.426074014525174,617.2550000000001,602.2,67.0,7.176435671176177,713.2776119402984,582.8,6.647546397765779,545.0988046167938,545.0988046167938
Brayden Point,77.0,6.750591767551724,654.2961038961039,614.4,81.0,6.4133653801220545,613.683950617284,606.2,6.6343562893312855,544.0172157251654,544.0172157251654
Alexander Ovechkin,65.0,7.3247929582649105,734.4676923076923,582.2,79.0,5.239898014063914,495.3215189873418,477.2,6.536722620504725,536.0112548813875,536.0112548813875
Mikko Rantanen,82.0,5.898111778946249,561.2,561.2,80.0,7.7214990339232745,748.865,730.6,6.495943665823962,532.6673805975648,532.6673805975648
Quinn Hughes,68.0,5.961447743778606,583.8882352941176,484.20000000000005,82.0,6.636763758748308,635.4,635.4,6.215465694363539,509.6681869378102,509.6681869378102
Sidney Crosby,80.0,5.8960740145251735,562.9300000000001,549.2,82.0,6.7485284646306605,646.8,646.8,6.184922216627033,507.1636217634167,507.1636217634167
Aleksander Barkov,67.0,5.790889671868015,567.1462686567164,463.4,73.0,6.745697885939005,658.0219178082192,585.8,6.127609476830249,502.4639771000804,502.4639771000804
Sebastian Aho,79.0,5.521286883358761,525.4227848101266,506.20000000000005,78.0,7.134182687676811,691.323076923077,657.6,6.054362615294388,496.4577344541398,496.4577344541398
Jesper Bratt,81.0,6.043637638143736,577.0370370370371,570.0,82.0,5.9642147391404645,566.8,566.8,6.016946336019687,493.3895995536143,493.3895995536143
Filip Forsberg,82.0,5.192229426005072,489.20000000000005,489.20000000000005,82.0,7.595587288160074,733.2,733.2,5.993348713390073,491.454594497986,491.454594497986
Jason Robertson,82.0,5.853013739730562,556.6,556.6,82.0,6.177940229336544,588.6,588.6,5.961322569599223,488.82845070713626,488.82845070713626
Nicholas Suzuki,82.0,6.349092171103112,607.2,607.2,82.0,5.142646111689484,483.0,483.0,5.946943484631903,487.649365739816,487.649365739816
Robert Thomas,70.0,6.148971127250192,600.9428571428571,513.0,82.0,5.58382258227772,528.0,528.0,5.940222565593693,487.09825037868285,487.09825037868285
Clayton Keller,81.0,6.071360410420963,579.8716049382715,572.8,78.0,5.472958197880892,520.1743589743589,494.79999999999995,5.87687969134544,481.9041346903261,481.9041346903261
Zachary Werenski,81.0,6.35848912329225,609.2296296296296,601.8,70.0,4.608332259914748,437.1771428571428,373.2,5.8304245524455895,478.09481330053836,478.09481330053836
Adrian Kempe,81.0,5.84759803418334,556.9925925925926,550.2,77.0,5.785050550436366,553.3402597402597,519.6,5.827446752808792,477.85063373032096,477.85063373032096
Matthew Tkachuk,52.0,5.444547242396075,554.446153846154,351.6,80.0,6.295499033923274,602.6999999999999,588.0,5.81452628219051,476.7911551396218,476.7911551396218
Seth Jarvis,73.0,5.965670983360401,577.8191780821918,514.4,81.0,5.536137657349777,523.9901234567901,517.6,5.812401382449121,476.6169133608279,476.6169133608279
Brandon Hagel,82.0,6.38438628875017,610.8,610.8,82.0,4.3622539548267385,403.4,403.4,5.710342177442359,468.24805855027347,468.24805855027347
Nico Hischier,75.0,5.880077910026499,566.5653333333333,518.2,71.0,5.348900037278323,514.1746478873239,445.2,5.709428005206949,468.1730964269698,468.1730964269698
John Tavares,75.0,5.751656857394919,553.2266666666667,506.0,80.0,5.409499033923274,511.885,499.4,5.632645440535216,461.87692612388776,461.87692612388776
J.T. Miller,72.0,4.691384798396928,445.53333333333336,391.2,81.0,7.266830726656707,700.9481481481481,692.4,5.618545332570449,460.7207172707768,460.7207172707768
